person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,cb_person_codes,x_test_indices,y_test,y_pred
25,200000,MORTGAGE,9.0,PERSONAL,23050,14.35,0,0.12,N,3,1,182,0,0
25,69996,RENT,9.0,EDUCATION,25000,15.21,1,0.36,N,3,1,194,1,1
22,14400,OWN,2.0,MEDICAL,4000,10.99,1,0.28,N,3,1,195,1,1
24,56100,RENT,7.0,MEDICAL,25000,16.49,1,0.38,N,4,1,198,1,1
25,66000,RENT,9.0,VENTURE,25000,15.33,1,0.38,Y,2,0,199,1,1
26,66000,RENT,3.0,HOMEIMPROVEMENT,25000,11.58,1,0.38,N,4,1,200,1,1
22,71000,RENT,1.0,EDUCATION,25000,15.95,1,0.35,Y,4,0,210,1,1
23,78000,RENT,1.0,VENTURE,25000,10.62,1,0.32,N,3,1,214,1,1
25,186000,OWN,9.0,VENTURE,10000,10.25,0,0.05,N,4,1,216,0,0
25,185000,RENT,6.0,VENTURE,15000,15.27,0,0.08,N,2,1,217,0,0
23,79416,RENT,7.0,VENTURE,25000,15.21,1,0.31,Y,2,0,219,1,1
26,80000,RENT,5.0,DEBTCONSOLIDATION,25000,13.61,1,0.31,N,4,1,225,1,1
24,183000,MORTGAGE,2.0,MEDICAL,20000,11.49,0,0.11,N,3,1,231,0,0
25,182952,MORTGAGE,9.0,PERSONAL,15000,6.03,0,0.08,N,3,1,233,0,0
23,14664,MORTGAGE,0.0,DEBTCONSOLIDATION,6000,10.99,1,0.41,N,4,1,250,1,1
24,75000,RENT,0.0,VENTURE,25000,14.7,1,0.33,Y,3,0,252,1,1
25,180000,MORTGAGE,3.0,VENTURE,9950,11.26,0,0.06,N,2,1,261,0,0
23,15000,OWN,7.0,MEDICAL,4475,10.99,1,0.3,N,4,1,262,1,1
25,83800,RENT,2.0,DEBTCONSOLIDATION,25000,15.95,1,0.3,Y,3,0,273,1,1
23,175000,MORTGAGE,8.0,PERSONAL,21000,11.99,0,0.12,N,3,1,277,0,0
23,15000,OWN,4.0,VENTURE,4600,10.99,1,0.31,N,2,1,279,1,1
25,15000,OWN,2.0,HOMEIMPROVEMENT,1750,15.31,0,0.12,Y,4,0,283,0,0
23,93000,RENT,0.0,DEBTCONSOLIDATION,25000,14.59,1,0.27,Y,2,0,289,1,1
25,174708,RENT,9.0,VENTURE,9000,10.59,0,0.05,N,3,1,292,0,0
21,15000,OWN,0.0,HOMEIMPROVEMENT,3175,11.54,1,0.21,Y,3,0,297,1,1
24,171500,RENT,6.0,DEBTCONSOLIDATION,18000,8.9,0,0.1,N,4,1,304,0,0
25,113000,RENT,7.0,MEDICAL,25000,12.73,0,0.22,Y,4,0,314,0,0
25,120000,RENT,6.0,MEDICAL,25000,10.74,0,0.21,N,2,1,316,0,0
23,120000,RENT,7.0,EDUCATION,25000,9.99,0,0.21,N,2,1,317,0,0
23,130000,RENT,4.0,EDUCATION,25000,16.02,0,0.19,Y,2,0,322,0,0
23,130000,RENT,7.0,VENTURE,25000,11.49,0,0.19,N,4,1,323,0,0
25,170000,OWN,4.0,EDUCATION,20000,12.53,0,0.12,N,4,1,324,0,0
25,168000,MORTGAGE,2.0,PERSONAL,35000,10.65,0,0.21,N,2,1,330,0,0
24,15600,OWN,5.0,HOMEIMPROVEMENT,3300,6.39,1,0.21,N,4,1,332,1,1
22,153000,MORTGAGE,5.0,DEBTCONSOLIDATION,24000,15.62,1,0.16,Y,2,0,341,1,1
25,165000,MORTGAGE,0.0,HOMEIMPROVEMENT,25000,19.74,0,0.15,N,4,1,343,0,1
22,16094,MORTGAGE,2.0,VENTURE,5500,7.14,1,0.34,N,3,1,351,1,1
24,185000,RENT,7.0,HOMEIMPROVEMENT,25000,12.68,0,0.14,Y,2,0,354,0,0
26,160000,RENT,6.0,PERSONAL,25000,12.23,0,0.16,Y,4,0,369,0,0
25,68400,RENT,9.0,PERSONAL,24250,17.56,1,0.35,N,4,1,373,1,1
26,160000,MORTGAGE,0.0,DEBTCONSOLIDATION,13750,10.99,0,0.09,N,4,1,385,0,0
21,44964,RENT,2.0,EDUCATION,24000,16.29,1,0.53,Y,2,0,399,1,1
26,62004,RENT,9.0,DEBTCONSOLIDATION,24000,7.9,1,0.39,N,3,1,407,1,1
26,65000,RENT,10.0,DEBTCONSOLIDATION,24000,10.99,1,0.37,N,2,1,409,1,1
24,70000,RENT,8.0,EDUCATION,24000,10.99,1,0.34,N,4,1,416,1,1
22,75000,RENT,6.0,EDUCATION,24000,12.69,1,0.32,N,4,1,419,1,1
23,78000,RENT,4.0,PERSONAL,24000,13.92,1,0.31,N,3,1,423,1,1
23,18000,OWN,3.0,EDUCATION,4000,5.99,1,0.22,N,2,1,426,1,1
26,88596,RENT,3.0,PERSONAL,24000,11.58,0,0.27,N,3,1,428,0,0
25,95000,RENT,4.0,EDUCATION,24000,8.9,0,0.25,N,2,1,429,0,0
22,83000,RENT,6.0,DEBTCONSOLIDATION,24000,19.69,1,0.29,N,3,1,430,1,1
22,98000,RENT,7.0,DEBTCONSOLIDATION,24000,10.99,1,0.24,Y,2,0,436,1,1
24,124080,RENT,4.0,PERSONAL,24000,16.49,0,0.19,Y,4,0,441,0,0
21,18000,OWN,1.0,PERSONAL,2500,11.36,0,0.14,N,3,1,454,0,0
24,54996,RENT,2.0,PERSONAL,23600,11.89,1,0.43,N,3,1,457,1,1
23,75000,RENT,3.0,PERSONAL,23575,14.5,1,0.31,N,4,1,460,1,1
22,66960,RENT,1.0,VENTURE,23400,7.49,1,0.35,N,2,1,465,1,1
24,18000,MORTGAGE,3.0,VENTURE,1200,11.34,0,0.07,Y,4,0,469,0,0
22,58600,RENT,5.0,MEDICAL,22750,11.36,1,0.39,N,4,1,476,1,1
24,73000,RENT,0.0,VENTURE,22400,16.7,1,0.31,Y,4,0,480,1,1
23,35000,RENT,2.0,DEBTCONSOLIDATION,22250,12.69,1,0.64,N,3,1,482,1,1
25,52000,RENT,4.0,PERSONAL,22000,10.74,1,0.42,N,2,1,484,1,1
26,56000,RENT,7.0,MEDICAL,22000,17.19,1,0.39,N,3,1,491,1,1
21,19000,OWN,5.0,MEDICAL,6000,8.49,1,0.32,N,3,1,498,1,1
24,80000,RENT,0.0,MEDICAL,22000,10.99,0,0.28,N,4,1,499,0,0
24,19000,OWN,3.0,MEDICAL,7400,13.85,1,0.39,N,2,1,501,1,1
25,82000,RENT,1.0,EDUCATION,22000,17.51,1,0.27,N,2,1,505,1,1
23,110000,RENT,0.0,PERSONAL,22000,10.99,0,0.2,N,3,1,508,0,0
23,56000,RENT,8.0,MEDICAL,21600,21.21,1,0.39,Y,4,0,512,1,1
22,19200,OWN,0.0,VENTURE,2400,10.59,0,0.13,N,3,1,516,0,0
24,116000,RENT,5.0,EDUCATION,21500,15.33,0,0.19,Y,3,0,521,0,0
22,31000,RENT,5.0,DEBTCONSOLIDATION,21250,12.42,1,0.69,N,3,1,523,1,1
22,19200,MORTGAGE,6.0,HOMEIMPROVEMENT,1400,14.91,1,0.07,Y,4,0,532,1,1
26,42000,RENT,0.0,MEDICAL,21000,17.26,1,0.5,Y,4,0,536,1,1
22,19200,MORTGAGE,3.0,MEDICAL,5000,15.33,1,0.26,N,3,1,543,1,1
21,19500,MORTGAGE,0.0,EDUCATION,15000,9.64,1,0.77,N,2,1,558,1,1
24,33000,RENT,1.0,DEBTCONSOLIDATION,20000,10.99,1,0.61,N,3,1,564,1,1
25,42000,RENT,2.0,EDUCATION,20000,13.47,1,0.48,N,4,1,578,1,1
22,42224,RENT,7.0,VENTURE,20000,6.99,1,0.47,N,4,1,579,1,1
23,20000,MORTGAGE,7.0,EDUCATION,3625,10.99,0,0.18,Y,3,0,581,0,0
22,45000,RENT,0.0,EDUCATION,20000,7.9,1,0.44,N,4,1,584,1,1
23,45000,RENT,4.0,PERSONAL,20000,10.25,1,0.44,N,2,1,585,1,1
24,45000,RENT,8.0,MEDICAL,20000,10.99,1,0.44,N,2,1,586,1,1
22,45000,RENT,1.0,DEBTCONSOLIDATION,20000,13.92,1,0.44,Y,3,0,588,1,1
22,48500,RENT,1.0,VENTURE,20000,11.36,1,0.41,N,4,1,593,1,1
25,52000,RENT,1.0,EDUCATION,20000,11.36,1,0.38,N,4,1,609,1,1
26,54996,RENT,8.0,EDUCATION,20000,12.18,1,0.36,N,4,1,621,1,1
26,49000,RENT,0.0,HOMEIMPROVEMENT,20000,19.79,1,0.41,N,3,1,624,1,1
25,55000,RENT,0.0,VENTURE,20000,9.88,1,0.36,N,4,1,625,1,1
25,55200,RENT,7.0,VENTURE,20000,10.99,1,0.36,N,4,1,628,1,1
23,57000,RENT,3.0,EDUCATION,20000,16.89,1,0.35,N,2,1,630,1,1
21,20245,OWN,5.0,VENTURE,3550,10.99,0,0.18,N,4,1,640,0,0
25,54000,RENT,6.0,PERSONAL,20000,8.88,1,0.37,N,3,1,644,1,1
23,54000,RENT,6.0,DEBTCONSOLIDATION,20000,14.84,1,0.37,Y,3,0,646,1,1
23,54000,RENT,2.0,PERSONAL,20000,11.12,1,0.37,N,2,1,647,1,1
22,60000,RENT,4.0,EDUCATION,20000,7.88,1,0.33,N,3,1,648,1,1
24,20400,MORTGAGE,5.0,DEBTCONSOLIDATION,5500,10.99,0,0.27,N,4,1,651,0,0
23,60000,RENT,3.0,EDUCATION,20000,12.21,1,0.33,N,2,1,655,1,1
25,54000,RENT,1.0,DEBTCONSOLIDATION,20000,14.11,1,0.37,N,4,1,657,1,1
24,61000,RENT,2.0,HOMEIMPROVEMENT,20000,12.18,1,0.33,N,4,1,664,1,1
26,58000,RENT,0.0,DEBTCONSOLIDATION,20000,10.25,1,0.34,N,2,1,672,1,1
23,65000,RENT,0.0,MEDICAL,20000,10.65,1,0.31,N,3,1,673,1,1
23,65000,RENT,7.0,VENTURE,20000,11.49,1,0.31,N,3,1,676,1,1
26,65004,RENT,7.0,DEBTCONSOLIDATION,20000,11.99,1,0.31,N,2,1,681,1,1
23,67000,RENT,0.0,MEDICAL,20000,11.11,0,0.3,N,2,1,686,0,0
22,66000,RENT,3.0,DEBTCONSOLIDATION,20000,14.42,1,0.3,N,2,1,702,1,1
25,21221,MORTGAGE,4.0,VENTURE,8500,9.63,0,0.4,N,4,1,708,0,0
26,71004,RENT,0.0,HOMEIMPROVEMENT,20000,13.36,1,0.28,Y,2,0,724,1,1
24,21600,MORTGAGE,8.0,MEDICAL,8000,5.42,0,0.37,N,2,1,725,0,0
21,21600,MORTGAGE,2.0,DEBTCONSOLIDATION,3800,5.99,0,0.18,N,2,1,729,0,0
23,80000,RENT,4.0,MEDICAL,20000,7.9,0,0.25,N,4,1,734,0,0
22,62900,RENT,6.0,MEDICAL,20000,14.91,1,0.27,N,4,1,736,1,1
22,80000,RENT,3.0,EDUCATION,20000,13.98,0,0.25,Y,4,0,740,0,0
26,62900,RENT,2.0,MEDICAL,20000,13.85,1,0.27,N,3,1,742,1,0
25,80004,RENT,9.0,HOMEIMPROVEMENT,20000,14.26,0,0.25,Y,4,0,745,0,0
22,81000,RENT,3.0,DEBTCONSOLIDATION,20000,13.49,0,0.25,N,4,1,747,0,0
24,21600,MORTGAGE,0.0,DEBTCONSOLIDATION,2000,14.84,1,0.09,N,2,1,748,1,1
21,21600,MORTGAGE,2.0,DEBTCONSOLIDATION,10000,11.14,0,0.46,N,2,1,756,0,0
23,85000,RENT,0.0,MEDICAL,20000,7.49,0,0.24,N,2,1,758,0,0
23,90000,RENT,2.0,MEDICAL,20000,11.49,0,0.22,N,4,1,770,0,0
22,22000,MORTGAGE,6.0,EDUCATION,7000,11.71,0,0.32,N,2,1,772,0,0
22,92000,RENT,6.0,VENTURE,20000,15.65,0,0.22,Y,2,0,776,0,0
22,85200,RENT,6.0,VENTURE,20000,15.65,1,0.23,Y,4,0,791,1,0
25,100000,RENT,9.0,HOMEIMPROVEMENT,20000,13.06,0,0.2,N,2,1,800,0,0
25,22000,OWN,0.0,VENTURE,7500,10.99,0,0.34,Y,3,0,802,0,0
25,108000,RENT,0.0,HOMEIMPROVEMENT,20000,10.99,0,0.19,N,4,1,811,0,0
24,110000,RENT,1.0,PERSONAL,20000,10.38,0,0.18,N,4,1,816,0,0
25,85000,RENT,7.0,MEDICAL,20000,17.39,1,0.2,N,2,1,821,1,1
22,23000,MORTGAGE,2.0,DEBTCONSOLIDATION,4800,10.0,0,0.21,N,4,1,839,0,0
26,172500,RENT,3.0,HOMEIMPROVEMENT,20000,11.83,0,0.12,N,2,1,842,0,0
21,23000,MORTGAGE,6.0,DEBTCONSOLIDATION,3000,13.35,0,0.13,N,3,1,843,0,0
26,19500,RENT,0.0,MEDICAL,500,11.41,0,0.03,N,2,1,847,0,0
25,23000,MORTGAGE,4.0,PERSONAL,10000,10.99,1,0.43,Y,2,0,848,1,0
22,23000,MORTGAGE,4.0,EDUCATION,7000,14.96,0,0.3,Y,3,0,850,0,0
22,23000,MORTGAGE,1.0,EDUCATION,2400,9.63,0,0.1,N,4,1,853,0,0
21,12000,RENT,1.0,EDUCATION,1000,13.98,0,0.08,N,2,1,857,0,1
23,23040,OWN,0.0,VENTURE,2000,11.11,0,0.09,N,3,1,861,0,0
21,16000,RENT,2.0,VENTURE,1000,15.65,1,0.06,Y,3,0,866,1,1
25,52000,RENT,5.0,MEDICAL,19000,10.99,1,0.37,N,4,1,873,1,1
26,62004,RENT,5.0,MEDICAL,19000,7.49,1,0.31,N,2,1,879,1,1
25,23920,MORTGAGE,0.0,MEDICAL,6000,14.59,1,0.25,Y,2,0,884,1,1
22,70000,RENT,2.0,DEBTCONSOLIDATION,18750,10.38,0,0.27,N,2,1,890,0,0
22,43000,RENT,4.0,DEBTCONSOLIDATION,18550,11.83,1,0.43,N,4,1,892,1,1
23,74196,RENT,2.0,EDUCATION,18500,11.26,0,0.25,N,3,1,898,0,0
21,24000,MORTGAGE,0.0,VENTURE,3000,7.9,0,0.13,N,4,1,902,0,0
22,34000,RENT,0.0,VENTURE,18250,10.25,1,0.54,N,3,1,911,1,1
25,34500,RENT,1.0,VENTURE,18250,17.04,1,0.53,N,3,1,913,1,1
23,42504,RENT,0.0,MEDICAL,18250,10.25,1,0.43,N,3,1,914,1,1
22,36000,RENT,6.0,DEBTCONSOLIDATION,18200,11.71,1,0.51,N,3,1,926,1,1
23,27000,RENT,2.0,VENTURE,18000,11.54,1,0.67,Y,4,0,928,1,1
23,33000,RENT,4.0,VENTURE,18000,9.91,1,0.55,N,4,1,930,1,1
23,39996,RENT,2.0,EDUCATION,18000,9.25,1,0.45,N,4,1,932,1,1
24,24000,MORTGAGE,3.0,MEDICAL,8000,5.99,0,0.33,N,4,1,936,0,0
24,42765,RENT,9.0,DEBTCONSOLIDATION,18000,11.03,1,0.42,Y,2,0,938,1,1
24,43000,RENT,9.0,MEDICAL,18000,7.9,1,0.42,N,2,1,939,1,1
22,44000,RENT,7.0,EDUCATION,18000,13.57,1,0.41,Y,4,0,940,1,1
22,46800,RENT,6.0,MEDICAL,18000,15.23,1,0.38,Y,2,0,943,1,1
24,50000,RENT,4.0,VENTURE,18000,7.9,1,0.36,N,4,1,949,1,1
23,24000,MORTGAGE,2.0,MEDICAL,5000,15.99,1,0.21,Y,2,0,950,1,1
22,24000,OWN,3.0,EDUCATION,2500,10.59,0,0.1,N,2,1,953,0,0
22,52000,RENT,1.0,VENTURE,18000,13.85,1,0.35,Y,4,0,957,1,1
23,24000,OWN,0.0,PERSONAL,8000,5.79,0,0.33,N,3,1,961,0,0
25,55000,RENT,2.0,EDUCATION,18000,12.84,1,0.33,N,2,1,962,1,1
25,58000,RENT,6.0,VENTURE,18000,10.99,1,0.31,N,4,1,967,1,1
22,60000,RENT,0.0,EDUCATION,18000,9.33,0,0.3,N,3,1,971,0,0
23,63000,RENT,2.0,EDUCATION,18000,13.57,0,0.29,Y,3,0,979,0,0
26,60000,RENT,2.0,HOMEIMPROVEMENT,18000,16.29,1,0.3,Y,2,0,985,1,1
25,54400,RENT,10.0,MEDICAL,18000,16.0,1,0.28,Y,2,0,989,1,1
23,75000,RENT,7.0,EDUCATION,18000,12.73,0,0.24,Y,4,0,998,0,0
23,75576,RENT,7.0,EDUCATION,18000,9.88,0,0.24,N,3,1,1000,0,0
21,80000,RENT,6.0,VENTURE,18000,7.9,0,0.23,N,2,1,1003,0,0
22,80000,RENT,1.0,EDUCATION,18000,10.99,0,0.23,N,4,1,1005,0,0
26,24000,MORTGAGE,5.0,PERSONAL,2100,13.11,0,0.09,N,3,1,1012,0,0
25,24000,OWN,4.0,MEDICAL,5000,10.95,0,0.21,N,3,1,1030,0,0
24,155000,RENT,8.0,EDUCATION,18000,10.62,0,0.12,N,4,1,1032,0,0
22,24000,OWN,6.0,MEDICAL,5000,12.21,0,0.21,N,3,1,1033,0,0
21,75000,RENT,3.0,EDUCATION,17950,10.91,0,0.24,N,3,1,1034,0,0
22,48000,RENT,0.0,DEBTCONSOLIDATION,17750,13.49,1,0.37,N,4,1,1039,1,1
22,24000,MORTGAGE,2.0,EDUCATION,3975,13.87,0,0.17,N,3,1,1043,0,0
22,65500,RENT,4.0,EDUCATION,17600,10.74,0,0.27,N,2,1,1045,0,0
21,24000,MORTGAGE,2.0,EDUCATION,5000,8.7,0,0.21,N,2,1,1048,0,0
23,36000,RENT,2.0,VENTURE,17500,14.22,1,0.49,N,4,1,1052,1,1
21,37232,RENT,3.0,MEDICAL,17500,12.53,1,0.47,N,2,1,1053,1,1
22,24900,MORTGAGE,1.0,MEDICAL,5500,13.16,1,0.22,N,2,1,1068,1,0
21,45408,RENT,3.0,DEBTCONSOLIDATION,17475,9.91,1,0.38,N,2,1,1072,1,1
24,133000,RENT,5.0,EDUCATION,17400,11.71,0,0.13,N,4,1,1077,0,0
24,95000,RENT,8.0,PERSONAL,17200,17.58,0,0.18,N,3,1,1078,0,0
23,54660,RENT,6.0,MEDICAL,17000,9.88,1,0.31,N,4,1,1097,1,1
23,53000,RENT,8.0,PERSONAL,17000,10.25,1,0.32,N,4,1,1100,1,1
23,70000,RENT,1.0,PERSONAL,17000,8.88,0,0.24,N,3,1,1106,0,0
24,75000,RENT,0.0,DEBTCONSOLIDATION,17000,12.53,0,0.23,N,2,1,1107,0,0
23,90000,RENT,7.0,EDUCATION,17000,10.59,0,0.19,N,3,1,1114,0,0
26,175000,RENT,2.0,VENTURE,17000,9.88,0,0.1,N,3,1,1118,0,0
26,25000,MORTGAGE,10.0,MEDICAL,7000,6.99,0,0.28,N,2,1,1121,0,0
23,25000,OWN,5.0,MEDICAL,7200,8.49,0,0.29,N,2,1,1122,0,0
22,50000,RENT,1.0,MEDICAL,16800,12.53,1,0.34,N,3,1,1124,1,1
24,55000,RENT,8.0,MEDICAL,16800,10.99,1,0.31,N,4,1,1126,1,1
22,60000,RENT,2.0,MEDICAL,16800,14.65,0,0.28,Y,4,0,1127,0,1
22,25000,MORTGAGE,0.0,HOMEIMPROVEMENT,3000,9.99,1,0.12,N,3,1,1131,1,1
24,125000,RENT,8.0,VENTURE,16800,12.42,0,0.13,N,4,1,1138,0,0
25,25000,OWN,5.0,HOMEIMPROVEMENT,2000,14.17,0,0.08,N,3,1,1139,0,0
25,25000,OWN,2.0,VENTURE,1500,6.76,0,0.06,N,4,1,1157,0,0
25,25000,OWN,3.0,EDUCATION,3000,6.76,0,0.12,N,2,1,1162,0,0
26,83300,RENT,2.0,MEDICAL,16500,16.77,1,0.17,N,4,1,1163,1,1
24,45000,RENT,1.0,PERSONAL,16425,13.49,1,0.36,Y,2,0,1164,1,1
24,61000,RENT,3.0,HOMEIMPROVEMENT,16400,10.99,0,0.27,N,4,1,1165,0,0
22,27600,RENT,2.0,DEBTCONSOLIDATION,16300,10.99,1,0.59,N,4,1,1166,1,1
24,35000,RENT,2.0,MEDICAL,16000,11.71,1,0.46,N,3,1,1175,1,1
25,38000,RENT,8.0,MEDICAL,16000,12.87,1,0.42,Y,3,0,1180,1,1
22,25000,OWN,1.0,VENTURE,6000,11.89,0,0.24,N,2,1,1183,0,0
25,40000,RENT,3.0,EDUCATION,16000,11.71,1,0.4,N,4,1,1185,1,1
21,41900,RENT,2.0,VENTURE,16000,12.84,1,0.38,Y,2,0,1190,1,1
24,50000,RENT,6.0,HOMEIMPROVEMENT,16000,13.99,1,0.32,Y,2,0,1219,1,1
22,53000,RENT,2.0,EDUCATION,16000,7.9,0,0.3,N,4,1,1226,0,0
24,54000,RENT,6.0,DEBTCONSOLIDATION,16000,10.99,0,0.3,N,4,1,1227,0,0
21,25200,MORTGAGE,0.0,PERSONAL,6500,14.26,1,0.26,Y,2,0,1232,1,1
22,61000,RENT,3.0,VENTURE,16000,10.99,0,0.26,Y,2,0,1243,0,0
23,25500,MORTGAGE,2.0,DEBTCONSOLIDATION,7850,13.49,0,0.31,N,4,1,1246,0,0
24,58575,RENT,2.0,MEDICAL,16000,19.47,1,0.27,N,2,1,1253,1,1
20,64000,RENT,3.0,VENTURE,16000,15.31,1,0.25,Y,4,0,1271,1,1
26,26000,MORTGAGE,7.0,HOMEIMPROVEMENT,7000,10.99,0,0.27,N,4,1,1276,0,0
26,75000,RENT,1.0,VENTURE,16000,10.99,0,0.21,N,2,1,1278,0,0
23,26000,MORTGAGE,7.0,MEDICAL,5000,7.91,0,0.19,N,2,1,1281,0,1
24,69000,RENT,2.0,DEBTCONSOLIDATION,16000,11.89,1,0.23,N,4,1,1282,1,0
22,26000,MORTGAGE,4.0,PERSONAL,4000,9.25,0,0.15,N,2,1,1285,0,0
23,26000,MORTGAGE,0.0,HOMEIMPROVEMENT,10000,10.99,1,0.38,Y,3,0,1289,1,1
22,24000,RENT,3.0,DEBTCONSOLIDATION,1000,12.84,0,0.04,Y,4,0,1291,0,0
26,26000,OWN,0.0,DEBTCONSOLIDATION,8500,16.45,1,0.33,N,3,1,1295,1,0
22,26004,MORTGAGE,4.0,EDUCATION,5000,7.49,0,0.19,N,2,1,1317,0,0
21,33388,RENT,3.0,EDUCATION,1000,10.99,0,0.03,N,2,1,1319,0,0
24,35100,RENT,8.0,VENTURE,1000,13.49,0,0.03,Y,4,0,1331,0,0
25,33600,RENT,0.0,EDUCATION,1000,15.57,1,0.03,Y,2,0,1344,1,1
22,56000,RENT,6.0,EDUCATION,1000,11.49,0,0.02,N,2,1,1370,0,0
21,26400,OWN,2.0,VENTURE,4000,7.51,0,0.15,N,4,1,1372,0,0
23,75000,RENT,0.0,PERSONAL,1000,13.23,0,0.01,Y,3,0,1377,0,0
22,14400,RENT,0.0,PERSONAL,1200,10.37,0,0.08,N,2,1,1388,0,0
24,14400,RENT,0.0,MEDICAL,1200,7.29,0,0.08,N,4,1,1390,0,0
23,15600,RENT,0.0,VENTURE,1200,14.91,1,0.08,N,4,1,1392,1,1
25,16800,RENT,4.0,MEDICAL,1200,10.38,0,0.07,N,2,1,1395,0,0
21,27000,MORTGAGE,3.0,MEDICAL,9600,13.49,0,0.36,Y,2,0,1397,0,1
23,20400,RENT,2.0,MEDICAL,1200,7.9,0,0.06,N,2,1,1400,0,0
22,27000,OWN,1.0,MEDICAL,4800,11.99,0,0.18,N,2,1,1402,0,0
22,28000,RENT,0.0,MEDICAL,1200,12.69,0,0.04,N,3,1,1406,0,0
24,32400,RENT,0.0,MEDICAL,1200,13.11,0,0.04,Y,2,0,1413,0,0
22,27000,OWN,3.0,MEDICAL,6000,6.54,0,0.22,N,4,1,1414,0,0
26,34000,RENT,0.0,VENTURE,1200,9.91,0,0.04,N,3,1,1417,0,0
22,34560,RENT,2.0,MEDICAL,1200,19.29,1,0.03,N,4,1,1418,1,1
24,36000,RENT,5.0,EDUCATION,1200,11.49,0,0.03,N,2,1,1422,0,0
23,36000,RENT,0.0,MEDICAL,1200,10.37,0,0.03,N,3,1,1423,0,0
22,44664,RENT,5.0,MEDICAL,1200,12.68,0,0.03,Y,3,0,1430,0,0
24,9600,RENT,3.0,EDUCATION,1300,12.73,1,0.14,N,2,1,1442,1,0
24,45000,RENT,5.0,MEDICAL,1300,13.61,0,0.03,Y,4,0,1444,0,0
24,64000,RENT,8.0,HOMEIMPROVEMENT,1300,13.49,1,0.02,N,3,1,1448,1,0
24,26000,RENT,2.0,MEDICAL,1325,12.87,1,0.05,N,4,1,1451,1,0
26,27138,MORTGAGE,10.0,DEBTCONSOLIDATION,2750,9.63,0,0.1,N,2,1,1453,0,0
24,10000,RENT,0.0,VENTURE,1400,10.83,0,0.14,N,4,1,1458,0,0
24,30000,RENT,4.0,MEDICAL,1400,15.62,1,0.05,Y,4,0,1464,1,1
21,27568,OTHER,0.0,MEDICAL,3500,14.42,1,0.13,N,4,1,1470,1,1
24,21600,RENT,0.0,MEDICAL,1450,10.99,0,0.07,N,3,1,1480,0,0
